Open,High,Low,Close,Adj Close,Volume
5200.89990234375,5238.4501953125,5167.10009765625,5232.2001953125,5232.2001953125,0
5277.14990234375,5288.35009765625,5242.39990234375,5277.89990234375,5277.89990234375,0
5278.14990234375,5310.85009765625,5260.0498046875,5281.7998046875,5281.7998046875,0
5281.7998046875,5302.5498046875,5244.75,5263.10009765625,5263.10009765625,0
5264.25,5276.75,5234.7001953125,5244.75,5244.75,0
5263.7998046875,5287.2001953125,5227.7998046875,5249.39990234375,5249.39990234375,0
5251.10009765625,5300.5,5200.9501953125,5210.39990234375,5210.39990234375,0
5212.60009765625,5239.2001953125,5169.5498046875,5233.9501953125,5233.9501953125,0
5234.5,5272.85009765625,5232.5,5259.89990234375,5259.89990234375,0
5259.89990234375,5279.85009765625,5242.4501953125,5252.2001953125,5252.2001953125,0
5253.64990234375,5292.5,5228.9501953125,5274.85009765625,5274.85009765625,0
5274.2001953125,5287.7998046875,5218.64990234375,5225.64990234375,5225.64990234375,0
5226.10009765625,5256.7001953125,5201.39990234375,5221.7001953125,5221.7001953125,0
5220.2001953125,5220.35009765625,5085.4501953125,5094.14990234375,5094.14990234375,0
5094.14990234375,5094.14990234375,4954.85009765625,5036.0,5036.0,0
5034.5498046875,5035.7001953125,4983.0498046875,5007.89990234375,5007.89990234375,0
5008.5,5008.5,4833.0498046875,4853.10009765625,4853.10009765625,0
4863.0,4929.89990234375,4824.9501953125,4867.25,4867.25,0
4866.14990234375,4893.7001953125,4766.0,4882.0498046875,4882.0498046875,0
4882.0498046875,4918.7998046875,4827.14990234375,4899.7001953125,4899.7001953125,0
4907.85009765625,4951.14990234375,4814.10009765625,4830.10009765625,4830.10009765625,0
4831.0,4949.14990234375,4831.0,4931.85009765625,4931.85009765625,0
4931.2998046875,4931.2998046875,4832.35009765625,4845.35009765625,4845.35009765625,0
4819.64990234375,4827.0,4692.35009765625,4718.64990234375,4718.64990234375,0
4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,4760.39990234375,0
4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,4792.64990234375,0
4793.0,4826.85009765625,4748.10009765625,4757.2001953125,4757.2001953125,0
4757.25,4843.7998046875,4757.25,4826.85009765625,4826.85009765625,0
4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,4801.9501953125,0
4801.7998046875,4880.0,4791.35009765625,4855.75,4855.75,0
4858.64990234375,4929.7001953125,4857.60009765625,4914.0,4914.0,0
4915.10009765625,4922.0498046875,4873.7001953125,4887.75,4887.75,0
4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,4844.89990234375,0
4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,4856.39990234375,0
4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,4870.0498046875,0
4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,4858.60009765625,0
4859.0,4880.14990234375,4835.60009765625,4859.75,4859.75,0
4858.5,4992.0,4858.4501953125,4922.2998046875,4922.2998046875,0
4935.60009765625,5029.4501953125,4935.35009765625,5017.0,5017.0,0
5015.7998046875,5093.25,5015.10009765625,5088.10009765625,5088.10009765625,0
5096.9501953125,5096.9501953125,5049.0,5080.25,5080.25,0
5080.5498046875,5118.64990234375,5068.0498046875,5088.7001953125,5088.7001953125,0
5092.14990234375,5147.10009765625,5092.14990234375,5124.0,5124.0,0
5121.0498046875,5131.7998046875,5094.35009765625,5101.5,5101.5,0
5101.60009765625,5137.39990234375,5092.0498046875,5116.25,5116.25,0
5116.35009765625,5152.60009765625,5102.10009765625,5133.39990234375,5133.39990234375,0
5131.7998046875,5158.10009765625,5122.10009765625,5137.0,5137.0,0
5134.4501953125,5151.0498046875,5101.2001953125,5128.89990234375,5128.89990234375,0
5128.9501953125,5209.25,5125.7001953125,5198.10009765625,5198.10009765625,0
5198.4501953125,5260.5,5177.14990234375,5231.89990234375,5231.89990234375,0
5232.5498046875,5255.64990234375,5214.39990234375,5245.89990234375,5245.89990234375,0
5246.7998046875,5269.9501953125,5237.10009765625,5262.7998046875,5262.7998046875,0
5260.9501953125,5260.9501953125,5187.0498046875,5205.2001953125,5205.2001953125,0
5205.85009765625,5243.60009765625,5193.39990234375,5225.2998046875,5225.2998046875,0
5225.2998046875,5267.2998046875,5202.9501953125,5260.39990234375,5260.39990234375,0
5260.5498046875,5293.75,5260.5498046875,5282.0,5282.0,0
5283.89990234375,5329.5498046875,5242.14990234375,5302.85009765625,5302.85009765625,0
5302.9501953125,5325.0,5251.35009765625,5262.4501953125,5262.4501953125,0
5260.39990234375,5293.89990234375,5235.14990234375,5249.10009765625,5249.10009765625,0
5249.2001953125,5298.60009765625,5249.2001953125,5290.5,5290.5,0
5291.39990234375,5377.5498046875,5291.39990234375,5368.39990234375,5368.39990234375,0
5369.64990234375,5388.64990234375,5351.7001953125,5366.0,5366.0,0
5365.7001953125,5399.64990234375,5345.0498046875,5374.64990234375,5374.64990234375,0
5376.2998046875,5383.64990234375,5290.25,5304.4501953125,5304.4501953125,0
5302.39990234375,5377.4501953125,5302.25,5361.75,5361.75,0
5354.14990234375,5382.14990234375,5324.89990234375,5339.7001953125,5339.7001953125,0
5340.85009765625,5356.5,5301.7001953125,5322.9501953125,5322.9501953125,0
5323.2998046875,5373.14990234375,5265.2998046875,5273.60009765625,5273.60009765625,0
5273.39990234375,5283.0498046875,5237.5498046875,5262.60009765625,5262.60009765625,0
5279.0498046875,5279.0498046875,5160.89990234375,5203.64990234375,5203.64990234375,0
